CustomerID,AccountType,Month,EnergyConsumption_kWh
RC1001,Residential,2024-01,420
RC1001,Residential,2024-02,433
RC1001,Residential,2024-03,299
RC1001,Residential,2024-04,331
RC1001,Residential,2024-05,360
RC1002,Residential,2024-01,516
RC1002,Residential,2024-02,500
RC1002,Residential,2024-03,390
RC1002,Residential,2024-04,359
RC1002,Residential,2024-05,400
RC1003,Commercial,2024-01,1438
RC1003,Commercial,2024-02,1322
RC1003,Commercial,2024-03,1004
RC1003,Commercial,2024-04,938
RC1003,Commercial,2024-05,1169
RC1004,Residential,2024-01,305
RC1004,Residential,2024-02,330
RC1004,Residential,2024-03,221
RC1004,Residential,2024-04,223
RC1004,Residential,2024-05,262
RC1005,Residential,2024-01,386
RC1005,Residential,2024-02,378
RC1005,Residential,2024-03,286
RC1005,Residential,2024-04,281
RC1005,Residential,2024-05,336
RC1006,Residential,2024-01,458
RC1006,Residential,2024-02,510
RC1006,Residential,2024-03,368
RC1006,Residential,2024-04,355
RC1006,Residential,2024-05,404
RC1007,Residential,2024-01,454
RC1007,Residential,2024-02,419
RC1007,Residential,2024-03,329
RC1007,Residential,2024-04,307
RC1007,Residential,2024-05,360
RC1008,Commercial,2024-01,1992
RC1008,Commercial,2024-02,2052
RC1008,Commercial,2024-03,1475
RC1008,Commercial,2024-04,1557
RC1008,Commercial,2024-05,1791
RC1009,Residential,2024-01,373
RC1009,Residential,2024-02,375
RC1009,Residential,2024-03,238
RC1009,Residential,2024-04,249
RC1009,Residential,2024-05,283
RC1010,Residential,2024-01,281
RC1010,Residential,2024-02,315
RC1010,Residential,2024-03,232
RC1010,Residential,2024-04,204
RC1010,Residential,2024-05,255
RC1011,Residential,2024-01,407
RC1011,Residential,2024-02,430
RC1011,Residential,2024-03,280
RC1011,Residential,2024-04,298
RC1011,Residential,2024-05,325
RC1012,Commercial,2024-01,1658
RC1012,Commercial,2024-02,1678
RC1012,Commercial,2024-03,1265
RC1012,Commercial,2024-04,1250
RC1012,Commercial,2024-05,1446
RC1013,Residential,2024-01,347
RC1013,Residential,2024-02,332
RC1013,Residential,2024-03,243
RC1013,Residential,2024-04,271
RC1013,Residential,2024-05,292
RC1014,Residential,2024-01,378
RC1014,Residential,2024-02,399
RC1014,Residential,2024-03,279
RC1014,Residential,2024-04,277
RC1014,Residential,2024-05,351
RC1015,Residential,2024-01,496
RC1015,Residential,2024-02,473
